TPR,PPID,Station,Date
RLC_SH,CN0N1RRT1296396O0C63,QC2,2020-11-26
RLC_SH,CN0N798X1296385100D9,QC2,2020-11-26
RLC_SH,CN0NN9Y8129639B80572,QC2,2020-11-26
RLC_SH,CN0NN9Y8129639C201A1,QC2,2020-11-26
RLC_SH,CN0NPPYW1296386M0034,QC2,2020-11-26
RLC_SH,CN0NPPYW1296387803C3,QC2,2020-11-26
RLC_SH,CN0NPPYW1296389C031F,QC2,2020-11-26
RLC_SH,CN0NYV7TCMK009850001,QC2,2020-11-26
RLC_SH,CN0PHP7P129638610174,QC2,2020-11-26
RLC_SH,CN0PHP7P1296386G0008,QC2,2020-11-26
RLC_SH,CN0PHP7P1296389H0054,QC2,2020-11-26
RLC_SH,CN0PHP7P129638AH05CD,QC2,2020-11-26
RLC_SH,CN0PTX78CMK000A8A31D,QC2,2020-11-26
RLC_SH,CN0PVN0F129637BJ036B,QC2,2020-11-26
RLC_SH,CN0PXM911296304E0082,QC2,2020-11-26
RLC_SH,CN0RMD5PCMK0092M00E8,QC2,2020-11-26
RLC_SH,CN0RTF1YCMK0098LA018,QC2,2020-11-26
RLC_SH,CN0RTYR21296382N021F,QC2,2020-11-26
RLC_SH,CN0T0VJ3CMK008AQ0281,QC2,2020-11-26
RLC_SH,CN0T64M2CMK008A607F7,QC2,2020-11-26
RLC_SH,CN0T73CF1296383T000D,QC2,2020-11-26
RLC_SH,CN0TDF181296383D03FE,QC2,2020-11-26
RLC_SH,CN0TW82J1296393K0526,QC2,2020-11-26
RLC_SH,CN0TW82J1296393R041A,QC2,2020-11-26
RLC_SH,CN0TW82J1296393R0485,QC2,2020-11-26
RLC_SH,CN0TW82J129639770394,QC2,2020-11-26
RLC_SH,CN0VD2G7CMK0084TA24B,QC2,2020-11-26
RLC_SH,CN0VDJMXCMK008CE02CF,QC2,2020-11-26
RLC_SH,CN0VDJMXCMK0098LA11C,QC2,2020-11-26
RLC_SH,CN0VRVWKCMK00052A01A,QC2,2020-11-26
RLC_SH,CN0VRVWKCMK00052A01E,QC2,2020-11-26
RLC_SH,CN0VRVWKCMK00065A002,QC2,2020-11-26
RLC_SH,CN0VRVWKCMK000A8A159,QC2,2020-11-26
RLC_SH,CN0VRVWKCMK000A8A15A,QC2,2020-11-26
RLC_SH,CN0VRVWKCMK000A8A166,QC2,2020-11-26
RLC_SH,CN0WH66R1296303S007A,QC2,2020-11-26
RLC_SH,CN0WH66R1296399C03E5,QC2,2020-11-26
RLC_SH,CN0WH66R1296399I0187,QC2,2020-11-26
RLC_SH,CN0WH66R1296399L027E,QC2,2020-11-26
RLC_SH,CN0WH66RCMK0098FA01E,QC2,2020-11-26
RLC_SH,CN0WRN921296399T073E,QC2,2020-11-26
RLC_SH,CN0X2R41CMK00052A018,QC2,2020-11-26
RLC_SH,CN0X2R41CMK00052A01D,QC2,2020-11-26
RLC_SH,CN0X2R41CMK00052A022,QC2,2020-11-26
RLC_SH,CN0XPVX4CMK0091KA006,QC2,2020-11-26
RLC_SH,CN0XY80DCMK0093I0331,QC2,2020-11-26
