
3RVWG,DAZ30,"SB 13 MLK",1.0,1.11.0,,TPM,,UMA,I5-7200,,"2019-09-12 10:17:40"
3THW7,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,DTP,A00-A01,UMA,I5-6300,,"2019-09-24 14:11:17"
3V9YR,CAZ20,"Steamboat 14",1.7,1.15.1,A07,DTP,A00-A01,UMA,KI3-7100U,"\","2019-09-30 05:47:57"
3VWJK,DAJ00,"Pebble Creek MLK(Commercial)",1.0,1.8.0,,TPM,,MLK,I7V,,"2019-08-23 05:47:39"
3VX8M,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
3X0H0,AAPA0,"Miramar 15",2.1,1.16.3,A17,DTP,A00-A01,DSC,E31575,"\","2019-02-26 17:40:11"
3XG7D,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,I7-8650,,"2019-09-12 10:17:40"
3Y392,CDM60,"Breckenridge 12""",1.5,1.16.0,A05,TPM,A00-A02,UMA,KI3-7100U,"\","2019-09-24 14:03:45"
3Y3DG,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,DTP,A00,UMA,I5-4310,"\",2017/8/29
3YC22,CAM01,"Berlinetta P MLK ",1.5,1.14.3,A08,TPM,A00-A02,DIS,I7-7700,"\","2019-06-09 05:43:57"
3YC67,DDP81,"Breckenridge 15P MLK",1.0,1.9.0,,DTP,,DIS,I7-8750H,,"2019-08-21 09:43:33"
41M0M,DDA30,"KW 13 MLK",1.0,1.10.0,,TPM,,UMA,I5-8350,,"2019-06-05 14:43:13"
420PP,ZBU10,"Goliad MLK 14(UMA/DSC) (E6)",1.9,A16,A13,TPM,A06,UMA,I3-5010U,DOCK,2017/8/15
42MTN,QAL71,"Dalmore 14 Lite(commercial)",2.4,A06,A06,DTP,"\","\","\","\",2016/6/2
43Y54,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,KI3-7130U,,"2019-09-12 10:17:40"
441WF,DDA30,"KW 13 MLK",1.0,1.10.0,null,TPM,null,UMA,I3-8130U,,"2019-06-05 14:43:13"
444HF,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,DTP,,UMA,I5-7300,,"2019-08-21 09:41:32"
465VM,QAL81,"Dalmore- 14
(commercial)",1.6,A16,A16,TPM,"\",DIS,"\","\",2016/6/2
46T0W,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,null,TPM,null,UMA,VI7-8650U,null,"2019-08-21 09:41:32"
476JC,ADP70,"Park City 14""-H",2.1,1.21.6,A16,TPM,A05,UMA,I7-6820HQ,"\","2019-11-29 14:54:25"
47MHN,ADM80,"Park City 14""-U ",2.1,1.21.6,A16,DTP,A05,UMA,I7-6600U,"\","2019-11-29 14:35:07"
48NJG,QALA1,"Dalmore- 15
(commercial)",1.4,A13,A13,TPM,"\",DIS,"\","\",2016/6/2
48PKK,CAZ10,"Steamboat 12",1.7,1.15.1,A07,TPM,null,UMA,I3-71,,"2019-09-30 05:47:57"
49JRV,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,DTP,,UMA,I5-8350,,"2019-08-21 09:41:32"
4C4X7,EDC55,"North Bay 15P TS/NT",1.0,21.1.1,A00,TPM,A01,DSC,I5-8365,"\","2019-12-11 14:34:34"
4C8W8,CAP10,"Crane 17",1.2,1.13.0,A01,TPM,A00,"\",I7-7700,"\","2019-01-21 17:14:34"
4CNY4,ZAM70,"Houston 14 UMA(E6)",2.3,A15,A15,DTP,A05,UMA,I5-5200U,DOCK,2017/8/3
4D2DN,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I5-7200U,,"2019-08-21 09:41:32"
4D8XM,DAJ00,"Pebble Creek MLK(Commercial)",1.0,1.8.0,,TPM,,MLK,I5V,,"2019-08-23 05:47:39"
4D9D1,ZAU70,"Crestb Butte 13 ",1.1,21.1.1,"\",TPM,A00,"\",I3-5Y10,"\","2019-12-11 14:26:12"
4FN47,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,KI7-8650U,,"2019-09-12 10:17:40"
4FTKM,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,DSC,I5-4310,"\",2017/8/29
4G5XX,ZAL61,"Marble Falls 15 DIS HSW(B6)",1.4,A10,A10,,A00,UMA,I5-4210U,"\",2016/7/15
4GTKN,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,TPM,A00-A01,UMA,SI7-6600U,"\","2019-09-30 05:47:57"
4GWRT,DDM90," Whitetail 14",1.0,21.1.1,,DTP,,UMA,/,,"2019-12-13 15:02:35"
4GXH1,CAM01,"Berlinetta P MLK ",1.5,1.14.3,A08,TPM,A00-A01,UMA,I5-7440,"\","2019-06-09 05:43:57"
4H2MK,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,TPM,,UMA,I3-7130U,,"2019-09-12 10:17:40"
4H855,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I3-7130U,,"2019-08-21 09:41:32"
4HYMM,DDP70,"Breckenridge 14H MLK",1.0,1.9.0,,DTP,,DIS,I5-8300H,,"2019-08-21 09:43:33"
4J378,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I3-8130U,,"2019-08-21 09:41:32"
4J763,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I5-8250U,,"2019-08-21 09:41:32"
4J840,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I5-7300UV,,"2019-08-21 09:41:32"
4J895,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I5-8350UV,,"2019-08-21 09:41:32"
4J907,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I7-8650UV,,"2019-08-21 09:41:32"
4JH02,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",UMA,KVI7-7600U,"\","2019-09-24 14:03:45"
4JT12,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,DTP,A01,"\",KI5-7440HVT,"\","2019-09-24 14:11:17"
4K998,CDM60,"Breckenridge 12""",1.5,1.16.0,A05,TPM,A00-A02,UMA,KI5-7200U,"\","2019-09-24 14:03:45"
4M3F4,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,A00-A01,UMA,I7-76U,,"2019-09-24 14:03:45"
4MKVF,DAP20,"Whitehaven 17",1.1,1.9.0,,TPM,,Assy,I5-8300H,,"2019-08-23 05:44:17"
4MYV6,AAU30,"Celtic 13",1.8,1.16.4,A12,TPM,A01,UMA,6Y75,"\","2019-06-19 17:55:28"
4N0VT,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I5-4300,"\",2017/8/29
4N1PT,ADP81,"Park City 15""-P",2.1,1.21.6,A16,DTP,A05,DSC,I7-6820H,"\","2019-11-29 14:54:25"
4P27D,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,DTP,,UMA,VI7-8650U,,"2019-09-12 10:17:40"
4PG39,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,DTP,A00-A01,UMA,I5-72U,,"2019-09-24 14:03:45"
4RD3M,CDM70,"Breckenridge 14U(Commercial)",1.5,1.16.0,A05,DTP,"A00
",DIS,KVI5-7300U,"\","2019-09-24 14:03:45"
4RKC6,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",DIS,KI5-7200U,"\","2019-09-24 14:03:45"
4T711,CDM60,"Breckenridge 12""",1.5,1.16.0,A05,TPM,A00-A02,UMA,KVI5-7300U,"\","2019-09-24 14:03:45"
4T8FJ,CAZ41,"Kirkwood 13",1.2,1.13.0,A01,TPM,"\",UMA,I5-7300U,"\","2019-01-09 09:20:50"
4TWHR,CAZ20,"SteamBoat 14",1.7,1.15.1,A07,DTP,A00-A01,UMA,SI5-6300U,,"2019-09-30 05:47:57"
4TXJG,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,DTP,A02,UMA,KI5-7300H,"\","2019-09-24 14:11:17"
4VY1Y,ZAM60,"Houston 12(E6)",2.3,A15,A12,TPM,A06,UMA,I3-4030,DOCK,2017/8/3
4WNH0,DAP10,"Whitehaven 15",1.1,1.9.0,,DTP,,Assy,I7-8750H,,"2019-08-23 05:44:17"
4X332,CDM60,"Breckenridge 12""",1.5,1.16.0,A05,TPM,A00-A02,UMA,KVI7-7600U,"\","2019-09-24 14:03:45"
4X333,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KI3-7100U,"\","2019-09-24 14:03:45"
4XMP4,DDP80,"Breckenridge 15H MLK",1.0,1.9.0,,TPM,,DSC,I5-8400HV,,"2019-08-21 09:43:33"
4XVDF,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KI5-7200U,"\","2019-09-24 14:03:45"
4XXXH,CAZ10,"Steamboat 12",1.7,1.15.1,A07,DTP,A00-A01,UMA,SI5-6200U,"\","2019-09-30 05:47:57"
4YC6T,VAZ50,"Goliad 12 (Commercial)",1.9,A21,A14,DTP,A00,"\",I5-4310,"\",2017/8/14
50NNF,CAZ10,"Steamboat 12",1.7,1.15.1,A07,DTP,null,UMA,I5-63,,"2019-09-30 05:47:57"
512D9,QXW00,"Korbel 14
(commercial)",1.5,A13,A13,DTP,"\","\","\","\",2016/6/2
530H3,ZAU50,"Testarossa  ",1.3,A10,A10,TPM,A00,DIS,I7-4702,"\",2017/9/27
540FV,VAW30,"Alpine 14 (Commercial)   ",1.7,A18,A11,DTP,A00,DSC,I5-4310,"\",2017/8/29
5432V,ZAM60,"Houston 12(E6)",2.3,A15,A12,TPM,A06,UMA,2981U,DOCK,2017/8/3
55R7G,ZAU70,"Crested Butte 13 ",1.1,21.1.1,"\",DTP,A00,"\",I5-5Y70,"\","2019-12-11 14:26:12"
55RJN,CAZ20,"Steamboat 14",1.7,1.15.1,A07,TPM,null,UMA,I7-66,,"2019-09-30 05:47:57"
55TW2,CAZ20,"Steamboat 14",1.7,1.15.1,A07,TPM,null,UMA,I5-73,,"2019-09-30 05:47:57"
56F9R,CAP00,"Crane 15",1.2,1.13.0,A01,TPM,A00,"\",I7-7700,"\","2019-01-21 17:14:34"
57CTW,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I3-4030,"\",2017/8/29
58R8Y,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A01,UMA,6Y75,"\","2019-06-19 17:55:28"
58YYD,DDP70,"Breckenridge 14H MLK",1.0,1.9.0,,TPM,,DIS,I5-8300H,,"2019-08-21 09:43:33"
5913Y,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,null,DTP,null,UMA,I5-8250U,null,"2019-08-21 09:41:32"
5D26F,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
5D6DP,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I5-8350,,"2019-08-21 09:41:32"
5F0Y9,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,DTP,"\","\","\","\",2016/6/2
5F8GX,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I3-7130,,"2019-08-21 09:41:32"
5FXXY,DDA30,"KW 13 MLK",1.0,1.10.0,null,TPM,null,UMA,I5-8250U,,"2019-06-05 14:43:13"
5GF1J,AAJA0,Jayton(PAD),1.5,"1.5.5
",A09,DTP,A03,UMA,M5,"\","2019-11-28 19:02:51"
5GN0T,AAZ60,"Beaver Creek 14",2.2,1.20.3,A07,DTP,A04,UMA,I7-6650U,"\","2019-04-19 19:38:15"
5HJC9,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I5-8350,,"2019-08-21 09:41:32"
5HR7R,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,TPM,,UMA,VI5-8350U,,"2019-09-12 10:17:40"
5JP47,CAP10,"Crane 17",1.2,1.13.0,A01,TPM,A00,"\",I5-7300,"\","2019-01-21 17:14:34"
5K63G,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,KI3-8130,,"2019-09-12 10:17:40"
5KCDJ,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,DTP,A00-A01,UMA,TI5-7200U,"\","2019-09-30 05:47:57"
5KD22,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I7-8650,,"2019-08-21 09:41:32"
5KN27,CAJ00,ASPEN(Commercial),1.0,1.7.7,A01,TPM,"\",UMA,"\","\","2019-11-04 08:46:30"
5KP6P,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,DTP,,UMA,I7-8650,,"2019-08-21 09:41:32"
5M4CJ,CAM01,"Berlinetta P MLK ",1.5,1.14.3,A08,DTP,A00-A01,DIS,I7-6820,"\","2019-06-09 05:43:57"
5MMV9,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",DIS,KVI5-7300U,"\","2019-09-24 14:03:45"
5MVC8,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,TPM,,UMA,I3-7130,,"2019-08-21 09:41:32"
5NTM5,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,DTP,A00,UMA,I5-4310,"\",2017/8/29
5P53C,CDM70,"Breckenridge 14U(Commercial)",1.5,1.16.0,A05,DTP,A00,UMA,I7-76U,,"2019-09-24 14:03:45"
5R14M,DAM01,"Berlinetta P CFL",1.0,1.12.0,,TPM,,Q1,E-2176M,,"2019-06-03 14:11:08"
5RKMV,CAZ10,"Steamboat 12",1.7,1.15.1,A07,DTP,null,UMA,I3-71,,"2019-09-30 05:47:57"
5RY82,AAPB0,"Miramar 17",2.1,1.16.3,A17,TPM,A00-A03,DSC,I7-6920HQ,"\","2019-02-26 17:40:11"
5T2TY,QAL80,"Dalmore- 14
(commercial)",1.6,A16,A16,DTP,"\",UMA,"\","\",2016/6/2
5TDYD,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,UMA,I5-7200U,,"2019-08-21 09:41:32"
5TRC8,VAQ10,"Diesel 15 (Commercial)",2.1,A20,A16,DTP,A00,"\","\","\",2017/9/27
5V4K9,CAP10,"Crane 17",1.2,1.13.0,A01,TPM,A00,"\",I7-7920,"\","2019-01-21 17:14:34"
5WGJG,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I7-7600U,,"2019-08-21 09:41:32"
5XH01,ZAU70,"Crested Butte 13 ",1.1,21.1.1,"\",TPM,A00,"\",I5-5Y70,"\","2019-12-11 14:26:12"
5Y099,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KVI5-7300U,"\","2019-09-24 14:03:45"
5Y41H,ZAL00,"Latitude OAK15 ",1.3,21.1.1,A10,,"A01
",DSC,I3-4010U,"\","2019-12-10 08:55:16"
5YP73,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,KI3-8130,,"2019-09-12 10:17:40"
608KR,DAJ00,"Pebble Creek MLK(Commercial)",1.0,1.8.0,,DTP,,MLK,I5,,"2019-08-23 05:47:39"
60NK7,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,DTP,A00,"\",I5-4210,"\",2017/8/14
61FGF,DDP70,"Breckenridge 14H MLK",1.0,1.9.0,,TPM,,DIS,VI5-8400H,,"2019-08-21 09:43:33"
61M53,QAL71,"Dalmore 14 Lite(commercial)",2.4,A06,A06,DTP,"\","\","\","\",2016/6/2
624W6,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,TPM,"\","\","\","\",2017/8/14
62F8P,DDP70,"Breckenridge 14H MLK",1.0,1.9.0,,DTP,,DIS,VI7-8850H,,"2019-08-21 09:43:33"
62KP1,ADM70,"Park City 14",2.1,1.21.6,A16,DTP,A04,UMA,I7-6600U,"\","2019-11-29 14:35:07"
630XH,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,DSC,I5-8350UV,,"2019-08-21 09:41:32"
6330K,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,DTP,A00,DSC,I5-4310,"\",2017/8/29
63J06,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,TPM,A00-A01,UMA,KI3-7100U,"\","2019-09-30 05:47:57"
643X,CAM01,"Berlinetta P MLK ",1.5,1.14.3,A08,DTP,A00-A01,DSC,E3-1505,"\","2019-06-09 05:43:57"
643X6,EDC30,"Merion 13 ",1.0,1.5.4,A08,DTP,A00-A01,DSC,E3-1505,"\","2019-11-01 12:53:40"
643X8,EDC40,"Merion 14",1.0,1.5.4,A08,DTP,A00-A01,DSC,E3-1505,"\","2019-11-01 12:53:40"
647Y5,CAP00,"Crane 15",1.2,1.13.0,A01,TPM,A00,"\",XE1575,"\","2019-01-21 17:14:34"
64G6F,DDB00,"Berlinetta-P 15 CFL 4ph",1.0,1.12.0,,DTP,,DIS,E-2176M,,"2019-06-06 11:03:44"
658C6,ZAU70,"Crested Butte 13 ",1.1,21.1.1,"\",DTP,A00,"\",5Y71,"\","2019-12-11 14:26:12"
66MNH,QAL71,"Dalmore 14 Lite(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
675H4,AAE00,"Bold Peak II",1.6,21.1.1,A12,TPM,A03-A04,UMA,M5VPRO,"\","2019-12-10 09:01:42"
677Y7,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,DTP,"\","\","\","\",2017/8/14
68CN2,CDM70,"Breckenridge 14U(Commercial)",1.5,1.16.0,A05,TPM,A00,UMA,I5-63U,,"2019-09-24 14:03:45"
68J8X,DDM90," Whitetail 14",1.0,21.1.1,,DTP,,UMA,/,,"2019-12-13 15:02:35"
68RW5,ZAL50,"Marble Falls 14 UMA BDW (B6)",1.4,A10,A10,,A00,UMA,I3-5005U,"\",2016/7/15
690TW,CAZ10,"Steamboat 12",1.7,1.15.1,A07,DTP,null,UMA,I5-73,,"2019-09-30 05:47:57"
692PG,VAW30,"Alpine 14 (Commercial)   ",1.7,A18,A11,TPM,A00,DSC,I5-4310,"\",2017/8/29
69T2P,CAZ20,"Steamboat 14",1.7,1.15.1,A07,DTP,A00-A01,UMA,TI5-7200U,"\","2019-09-30 05:47:57"
6D04X,ZAM70,"Houston 14 UMA(E6)",2.3,A15,A15,DTP,A05,UMA,I5-4210U,DOCK,2017/8/3
6DFFC,CAZ20,"Steamboat 14",1.7,1.15.1,A07,DTP,A00-A01,UMA,SI5-6200U,"\","2019-09-30 05:47:57"
6DR15,BAJ00,"Pebble Creek",1.4,1.4.3,A01,TPM,A01,UMA,I5V,"\","2019-02-19 17:04:18"
6DTX4,VAW30,"Alpine 14 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I3-4030,"\",2017/8/29
6FCHM,QALA1,"Dalmore- 15
(commercial)",1.4,A13,A13,DTP,"\",DSC,"\","\",2016/6/2
6FYD8,ADM60,"Park City 12",2.1,1.21.6,A16,DTP,A04,UMA,I3-6100U,"\","2019-11-29 14:35:07"
6G2HC,VALA0,"Salado 15 DSC(commercial)",1.9,A21,A17,DTP,"\","\","\","\",2017/9/25
6G614,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KVI7-7600U,"\","2019-09-24 14:03:45"
6G7J8,CAP00,"Crane 15",1.2,1.13.0,A01,DTP,A00,"\",I76820,"\","2019-01-21 17:14:34"
6JG8Y,AAL00,"Fig Tree (Commercial)",1.9,21.1.1,A07,DTP,"\","\","\","\","2019-12-11 15:34:01"
6JJPX,CAZ20,"Steamboat 14",1.7,1.15.1,A07,DTP,A00-A01,UMA,KI5-7300U,"\","2019-09-30 05:47:57"
6JP6M,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",DIS,KI5-7200U,"\","2019-09-24 14:03:45"
6KRRV,DDP80,"Breckenridge 15H MLK",1.0,1.9.0,,TPM,,UMA,I7-8850HV,,"2019-08-21 09:43:33"
6M3V4,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,DTP,"\","\","\","\",2017/8/14
6N46H,VAZ50,"Goliad 12 (Commercial)",1.9,A21,A14,TPM,"\","\","\","\",2017/8/14
6NF4P,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,DTP,A00-A01,UMA,TI5-7200U,"\","2019-09-30 05:47:57"
6PV53,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",DIS,KVI5-7300U,"\","2019-09-24 14:03:45"
6RG9P,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I5-4210,"\",2017/8/29
6TF90,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,KI3-7130U,,"2019-09-12 10:17:40"
6TJHN,ZAL00,"Latitude OAK15 ",1.3,21.1.1,A10,,"A01
",UMA,I5-4200U,"\","2019-12-10 08:55:16"
6TR9R,ADP80,"Park City 15""-H",2.1,1.21.6,A16,DTP,A07,DSC,I5-6440H,"\","2019-11-29 14:54:25"
6TVDR,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,UMA,I3-7130,,"2019-08-21 09:41:32"
6W882,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,TPM,"A00-A01
",DIS,KVI7-7600U,"\","2019-09-24 14:03:45"
6WXCN,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,I5-8350,,"2019-09-12 10:17:40"
6WXV8,DDM90," Whitetail 14",1.0,21.1.1,,TPM,,UMA,/,,"2019-12-13 15:02:35"
6XRV6,DAP10,"Whitehaven 15",1.1,1.9.0,,DTP,,Assy,I7-8850H,,"2019-08-23 05:44:17"
6XXFM,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,DTP,A00,UMA,KI5-7440HV,"\","2019-09-24 14:11:17"
6YJRW,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,DTP,A00,UMA,I5-4200,"\",2017/8/29
70KNT,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,DSC,I5-4310,"\",2017/8/29
70RT7,DAP10,"Whitehaven 15",1.1,1.9.0,,DTP,,Assy,I9-8950H,,"2019-08-23 05:44:17"
71TPK,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",DIS,KVI7-7600U,"\","2019-09-24 14:03:45"
71V71,DDA30,"KW 13 MLK",1.0,1.10.0,,TPM,,UMA,I3-8130U,,"2019-06-05 14:43:13"
725W3,AAL00,"Fig Tree (Commercial)",1.9,21.1.1,A07,TPM,"\","\","\","\","2019-12-11 15:34:01"
72F01,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
74G70,ZBU11,"Goliad MLK 14(DSC) (E6)  ",1.9,A16,A13,DTP,A07,DSC,I5-5200U,"NO DOCK",2017/8/15
74RP8,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,TPM,A02,UMA,KVI7-7820H,"\","2019-09-24 14:11:17"
752XF,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KI3-7100U,"\","2019-09-24 14:03:45"
75DMV,CDM70,"Breckenridge 14U(Commercial)",1.5,1.16.0,A05,DTP,A00,UMA,I3-71U,,"2019-09-24 14:03:45"
7652N,CAP00,"Crane 15",1.2,1.13.0,A01,DTP,A00,Assy,XE1505MV5U,,"2019-01-21 17:14:34"
76F94,ZAL50,"Marble Falls 14 UMA BDW (B6)",1.4,A10,A10,,A01,DSC,I3-5005U,"\",2016/7/15
76R9T,ADM60,"Park City 12",2.1,1.21.6,A16,TPM,A05,UMA,I3-6100U,"\","2019-11-29 14:35:07"
792TG,ADP70,"Park City 14""-H",2.1,1.21.6,A16,TPM,A05,UMA,I5-6440HQ,"\","2019-11-29 14:54:25"
796WF,ZBU11,"Goliad MLK 14(DSC) (E6)  ",1.9,A16,A13,TPM,A07,DSC,I5-5200U,"NO DOCK",2017/8/15
79D8X,ZAU70,"Crested Butte 13 ",1.1,21.1.1,"\",DTP,A00,"\",5Y71,"\","2019-12-11 14:26:12"
79J6G,ZAU70,"Crested Butte 13 ",1.1,21.1.1,"\",DTP,A00,"\",5Y10C,"\","2019-12-11 14:26:12"
7CT81,DDM90," Whitetail 14",1.0,21.1.1,,TPM,,UMA,/,,"2019-12-13 15:02:35"
7DCRR,CAZ40,"Kirkwood 12"" ",1.5,1.16.0,A07,TPM,A00,UMA,I7-7600U,"\","2019-06-07 22:12:35"
7DWXK,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,null,TPM,null,DSC,I5-8250U,null,"2019-08-21 09:41:32"
7H156,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KI5-7200U,"\","2019-09-24 14:03:45"
7JF3P,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KI5-7300UV,"\","2019-09-24 14:03:45"
7K64X,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
7P3HH,AAM01,"Berlinetta-P ",2.4,21.1.1,A17,TPM,A05-A07,DSC,I5-6300,"\","2019-12-16 08:10:46"
7PGM9,CAP10,"Crane 17",1.2,1.13.0,A01,DTP,A00,"\",I7-7820,"\","2019-01-21 17:14:34"
7PT63,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,TPM,,UMA,I5-7200U,,"2019-08-21 09:41:32"
7PWX1,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,DTP,A00-A01,UMA,I5-63U,,"2019-09-24 14:03:45"
7R032,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,KI7-7600UV,"\","2019-09-24 14:03:45"
7R3XN,AAM01,"Berlinetta-P ",2.4,21.1.1,A17,DTP,A00-A02,DSC,I7-6700HQ,"\","2019-12-16 08:10:46"
7RD9D,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,"A00-A01
",DIS,KI5-7300UV,"\","2019-09-24 14:03:45"
7RPNV,VAZ50,"Goliad 12 (Commercial)",1.9,A21,A14,TPM,"\","\","\","\",2017/8/14
7T8JW,AAU30,"Celtic 13",1.8,1.16.4,A12,TPM,A01,UMA,6Y75,"\","2019-06-19 17:55:28"
7TFN1,DDM90," Whitetail 14",1.0,21.1.1,,DTP,,UMA,/,,"2019-12-13 15:02:35"
7TTKR,DDP80,"Breckenridge 15H MLK",1.0,1.9.0,,TPM,,DIS,I7-8850HV,,"2019-08-21 09:43:33"
7TTNJ,VAL91,"Salado 14 UMA (commercial)",1.8,A18,A14,DTP,A03,DSC,"\","\",2017/9/25
7V7N8,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,KI3-7130U,,"2019-09-12 10:17:40"
7VJ0M,CAP00,"Crane 15",1.2,1.13.0,A01,DTP,A00,"\",XE1575,"\","2019-01-21 17:14:34"
7VMPC,VAQ10,"Diesel 15 (Commercial)",2.1,A20,A16,DTP,"\","\","\","\",2017/9/27
7VT54,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I5-7300UV,,"2019-08-21 09:41:32"
7W357,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,"A00-A01
","\",KI7-7600UV,"\","2019-09-24 14:03:45"
7W358,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,TPM,A02,UMA,KI5-7300H,"\","2019-09-24 14:11:17"
7W359,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,TPM,A02,UMA,KVI5-7440H,"\","2019-09-24 14:11:17"
