
0JRVT,ZAM70,"Houston 14 UMA(E6)",2.3,A15,A15,DTP,A05,UMA,I3-4030U,DOCK,2017/8/3
0JRYP,CAP10,"Crane 17",1.2,1.13.0,A01,DTP,A00,"\",I7-7700,"\","2019-01-21 17:14:34"
0KD6F,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",UMA,KI3-7100U,"\","2019-09-24 14:03:45"
0KY10,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,I5-7200,,"2019-09-12 10:17:40"
0MDPF,EDB46,"Dorset 14''",1.0,1.0.0,A00,TPM,A01,UMA,"I5-8365 ","\","2019-06-29 11:08:45"
0MPVT,CAZ10,"Steamboat 12",1.7,1.15.1,A07,DTP,null,UMA,I5-72,,"2019-09-30 05:47:57"
0P4GX,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,A00-A01,UMA,I5-72U,,"2019-09-24 14:03:45"
0P64T,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,TPM,,UMA,I3-7130,,"2019-08-21 09:41:32"
0PFGC,ADP81,"Park City 15""-P",2.1,1.21.6,A16,DTP,A04,DSC,I7-6700H,"\","2019-11-29 14:54:25"
0R7JJ,CAZ20,"Steamboat 14",1.7,1.15.1,A07,DTP,null,UMA,I5-62,,"2019-09-30 05:47:57"
0RXYN,CAJ00,ASPEN(Commercial),1.0,1.7.7,A01,DTP,"\",UMA,"\","\","2019-11-04 08:46:30"
0T9FH,ZAU70,"Crestb Butte 13 ",1.1,21.1.1,"\",DTP,A00,"\",I5-5Y70,"\","2019-12-11 14:26:12"
0TVJ0,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,DTP,A00-A01,UMA,KI5-7300U,"\","2019-09-30 05:47:57"
0TX5K,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A00,UMA,6Y54,"\","2019-06-19 17:55:28"
0VJ1G,ADM70,"Park City 14",2.1,1.21.6,A16,TPM,A05,UMA,I3-6100U,"\","2019-11-29 14:35:07"
0VP1V,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",UMA,KI5-7200U,"\","2019-09-24 14:03:45"
0VTMH,ADP80,"Park City 15""-H",2.1,1.21.6,A16,DTP,A07,DSC,I5-6440H,"\","2019-11-29 14:54:25"
0X00Y,CDP80,"Breckenridge 15 H",1.5,1.16.0,,TPM,,UMA,KI5-7440HV,,"2019-09-24 14:11:17"
10CGG,CAZ20,"SteamBoat 14(Commercial)",1.7,1.15.1,A07,DTP,A00-A01,UMA,KI7-7600U,"\","2019-09-30 05:47:57"
10N98,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,DTP,,UMA,I5-8350U,,"2019-09-12 10:17:40"
11RTT,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,null,DTP,null,UMA,I5-8250U,null,"2019-08-21 09:41:32"
13K4Y,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,KI5-7300U,,"2019-09-12 10:17:40"
16XGH,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00-A01
",UMA,KVI5-7300U,"\","2019-09-24 14:03:45"
1726W,AAL00,"Fig Tree (Commercial)",1.9,21.1.1,A07,TPM,"\","\","\","\","2019-12-11 15:34:01"
172X2,AAPB0,"Miramar 17",2.1,1.16.3,A17,DTP,A00-A02,DSC,E31575,"\","2019-02-26 17:40:11"
17FG2,ZAM71,"Houston 14 DSC (E6)",2.3,A15,A15,TPM,A07,DIS,I7-5600U,DOCK,2017/8/3
17JKT,CAP10,"Crane 17",1.2,1.13.0,A01,TPM,A00,"\",XE1545,"\","2019-01-21 17:14:34"
187D5,ZAM70,"Houston 14 UMA(E6)",2.3,A15,A15,,A06,"\",I5-5300U,DOCK,2017/8/3
18FNK,CAM01,"Berlinetta P MLK ",1.5,1.14.3,A08,DTP,A00-A01,UMA,I5-7440,"\","2019-06-09 05:43:57"
18HX3,DAM01,"Berlinetta P CFL",1.0,1.12.0,,DTP,,Q1,E-2176M,,"2019-06-03 14:11:08"
18JMR,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I5-8250U,,"2019-08-21 09:41:32"
19C1X,ZAM70,"Houston 14 UMA(E6)",2.3,A15,A15,TPM,A06,"\",I5-4210U,DOCK,2017/8/3
19GNG,CAZ20,"Steamboat 14",1.7,1.15.1,A07,TPM,A00-A01,UMA,TI5-7200U,"\","2019-09-30 05:47:57"
19J9G,ZAL50,"Marble Falls 14 UMA BDW (B6)",1.4,A10,A10,,A01,"\",3805U,"\",2016/7/15
19XXT,ZAL51,"Marble Falls 14 DIS HSW (B6)",1.4,A10,A10,,A00,UMA,I3-4005U,"\",2016/7/15
1CXFV,BAJ00,"Pebble Creek",1.4,1.4.3,A01,DTP,A01,UMA,I3,"\","2019-02-19 17:04:18"
1DGVM,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,DTP,"\","\","\","\",2016/6/2
1DJ9G,CDP70,"Breckenridge 14H(Commercial)",1.5,1.16.0,A05,DTP,A00,DIS,KVI7-7820H,"\","2019-09-24 14:11:17"
1DMJH,DDA30,"KW 13 MLK",1.0,1.10.0,,DTP,,UMA,I5-8350,,"2019-06-05 14:43:13"
1DY8W,DAP20,"Whitehaven 17",1.1,1.9.0,,TPM,,Assy,I9-8950H,,"2019-08-23 05:44:17"
1G26R,CAP10,"Crane 17",1.2,1.13.0,A01,DTP,A00,"\",E3-1535,"\","2019-01-21 17:14:34"
1J67F,ZAL60,"Marble Falls 15 UMA BDW(B6)",1.4,A10,A10,,A01,DSC,I5-5200U,"\",2016/7/15
1JF8K,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A01,UMA,6Y57,"\","2019-06-19 17:55:28"
1JRPN,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,UMA,I7-7600U,,"2019-08-21 09:41:32"
1JWH0,CAP10,"Crane 17",1.2,1.13.0,A01,DTP,A00,"\",XE1575,"\","2019-01-21 17:14:34"
1JX77,AAE00,"Bold Peak II",1.6,21.1.1,A12,DTP,A01,UMA,M3,"\","2019-12-10 09:01:42"
1K63C,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,I3-7130,,"2019-09-12 10:17:40"
1KWXC,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,null,DTP,null,UMA,VI5-8350U,"\","2019-08-21 09:41:32"
1M8Y2,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,KI3-8130,,"2019-09-12 10:17:40"
1N4P8,EDC41,"North Bay 14 TS/NT",1.0,1.4.2,A00,TPM,A01,UMA,"I3-8145 ","\","2019-06-29 11:08:45"
1N8Y9,EDC42,"Brook Hollow 14",1.0,1.3.2,A00,TPM,A01,UMA,"I5-9300H ","\","2019-06-29 11:08:45"
1NCCD,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,DTP,A00,UMA,KI7-7820HV,"\","2019-09-24 14:11:17"
1NDW3,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,TPM,,UMA,I3-8130U,,"2019-09-12 10:17:40"
1NJ1T,AAPA0,"Miramar 15",2.1,1.16.3,A17,TPM,A00,DSC,I7QC2,"\","2019-02-26 17:40:11"
1NPJG,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,DSC,VI7-8650U,,"2019-08-21 09:41:32"
1NVYD,ZAM60,"Houston 12(E6)",2.3,A15,A12,TPM,A06,"\",I7-5600U,DOCK,2017/8/3
1PD6N,AAU30,"Celtic 13",1.8,1.16.4,A12,TPM,A01,UMA,6Y57,"\","2019-06-19 17:55:28"
1PHVT,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,DTP,A00,"\",I5-4310,"\",2017/8/14
1R39G,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,TPM,A02,UMA,KI5-7300H,"\","2019-09-24 14:11:17"
1RFXJ,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I3-7130U,,"2019-08-21 09:41:32"
1RHH7,CAM01,"Berlinetta P MLK ",1.5,1.14.3,A08,DTP,A00-A01,DSC,I5-7300,"\","2019-06-09 05:43:57"
1RP9W,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,null,DTP,null,UMA,KI5-7300U,,"2019-09-12 10:17:40"
1T41R,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,DTP,A00,UMA,I3-4030,"\",2017/8/29
1T7K3,CAP00,"Crane 15",1.2,1.13.0,A01,DTP,A00,"\",I7-7820,"\","2019-01-21 17:14:34"
1TVGD,QAL71,"Dalmore 14 Lite(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
1TWGW,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,null,DTP,null,UMA,VI5-7300U,null,"2019-08-21 09:41:32"
1WC5H,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,DTP,A00,UMA,SVI5-6440H,"\","2019-09-24 14:11:17"
1WVFW,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,DTP,,UMA,I5-7300UV,,"2019-08-21 09:41:32"
1WX80,ZAL60,"Marble Falls 15 UMA BDW(B6)",1.4,A10,A10,,A01,UMA,I3-5005U,"\",2016/7/15
1X2FT,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,TPM,,UMA,I3-8130U,,"2019-08-21 09:41:32"
1Y20Y,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A01,UMA,6Y54,"\","2019-06-19 17:55:28"
1Y8DP,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,null,TPM,null,UMA,I3-7130U,,"2019-08-21 09:41:32"
1Y9NR,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,DTP,,UMA,I7-8650,,"2019-09-12 10:17:40"
1YTC7,CAP10,"Crane 17",1.2,1.13.0,A01,TPM,A00,"\",I76920,"\","2019-01-21 17:14:34"
202K9,ZAM60,"Houston 12(E6)",2.3,A15,A12,DTP,A05,UMA,I5-4210,DOCK,2017/8/3
21YM5,ADM60,"Park City 12",2.1,1.21.6,A16,DTP,A04,UMA,I5-6200U,"\","2019-11-29 14:35:07"
229N2,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,DTP,,UMA,I5-8250,,"2019-08-21 09:41:32"
22G5H,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,DTP,A00,UMA,KI5-7440HV,"\","2019-09-24 14:11:17"
23HGC,CAZ20,"Steamboat 14",1.7,1.15.1,A07,TPM,null,UMA,I5-6360V,,"2019-09-30 05:47:57"
2472N,AAU30,"Celtic 13",1.8,1.16.4,A12,TPM,A01,UMA,6Y54,"\","2019-06-19 17:55:28"
24X3Y,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,DTP,A01,DIS,KI7-7820HVT,"\","2019-09-24 14:11:17"
25W0N,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,A00-A01,UMA,KI5-7200U,,"2019-09-24 14:03:45"
